Date	,Precipitation (mm)	,Max Temp (C)	,Min Temp (C)	,Snowfall (mm)	,Snow Depth(mm)	,Cold Stress Events	,Heat Stress Events
2020-05-01	,0.0	,24.888888888888893	,9.01111111111111	,0.0	,None	,None	,None
2020-05-02	,0.0	,24.18888888888889	,9.3	,0.0	,None	,None	,None
2020-05-03	,0.0	,23.088888888888892	,8.222222222222221	,0.0	,None	,8.222222222222221	,None
2020-05-04	,0.0	,23.71111111111111	,7.0777777777777775	,0.0	,None	,7.0777777777777775	,None
2020-05-05	,0.0	,26.044444444444448	,8.88888888888889	,0.0	,None	,8.88888888888889	,None
2020-05-06	,0.0	,26.97777777777778	,10.366666666666667	,0.0	,None	,None	,None
2020-05-07	,0.0	,27.800000000000004	,10.97777777777778	,0.0	,None	,None	,None
2020-05-08	,0.0	,30.133333333333333	,13.1	,0.0	,None	,None	,None
2020-05-09	,0.0	,32.333333333333336	,14.533333333333335	,0.0	,None	,None	,32.333333333333336
2020-05-10	,0.0	,30.675000000000008	,14.112500000000004	,0.0	,None	,None	,None
2020-05-11	,0.0	,27.411111111111115	,10.799999999999999	,0.0	,None	,None	,None
2020-05-12	,1.2384615384615385	,22.65555555555556	,10.666666666666666	,0.0	,None	,None	,None
2020-05-13	,6.369999999999999	,20.785714285714292	,7.92857142857143	,0.0	,None	,7.92857142857143	,None
2020-05-14	,0.0	,21.366666666666674	,8.655555555555555	,0.0	,None	,8.655555555555555	,None
2020-05-15	,0.36666666666666675	,22.11111111111111	,8.966666666666669	,0.0	,None	,8.966666666666669	,None
2020-05-16	,0.0	,24.700000000000003	,10.5	,0.0	,None	,None	,None
2020-05-17	,0.0	,25.066666666666674	,11.488888888888889	,0.0	,None	,None	,None
2020-05-18	,24.41875	,20.177777777777777	,9.8	,0.0	,None	,None	,None
2020-05-19	,32.087500000000006	,16.611111111111107	,7.033333333333335	,0.0	,None	,7.033333333333335	,None
2020-05-20	,1.0909090909090908	,19.322222222222223	,7.68888888888889	,0.0	,None	,7.68888888888889	,None
2020-05-21	,0.0	,22.96666666666667	,9.2	,0.0	,None	,None	,None
